Case_name,Total_net_emissions,Total_emissions,Total_costs,Fraction_costs_abatement,Fraction_costs_removals,Fraction_removals,Total_costs_per_net,Total_budget,Learning_gains_per_em,Learning_gains_per_rem,ETS_max,RC_max,ETS_avg,Emitter_cost_avg
Social Optimum,17.41739999999999,61.69080000000002,4041.9738763755086,61.338252839773446,38.66174716022656,71.76661674025951,232.06528393305032,-3672.1061237428653,1.7283323749875963,211.99487402522053,4344.052802507226,4344.052802507226,131.4174267514402,171.6061770352556
No Removals (ETS Endgame),17.427,17.427,12156.82023520458,100.0,0.0,0.0,697.5853695532553,191.16557214527126,14.216379044938211,0.0,599.995222171279,380.0,191.16557214527108,888.7509416985265
Disconnected Markets - Removal Target,13.915499999999996,34.375800000000005,5543.716099731507,80.06564846681391,19.934351533186085,59.51948754647166,398.38425494818785,152.05392390056534,1.720240091191071,92.47901782081999,365.42400000000964,550.9305778017558,249.63826899559248,378.75852930689257
Connected Markets - Net Cap,17.426099999999995,35.56139999999999,4906.1959953376845,92.52137882239109,7.4786211776089075,50.99714859369991,281.5429726294286,181.55962157513093,1.8051961357017763,40.462565680892766,449.230642359429,449.2305899260171,237.985475674605,365.6317489544916
Net Cap with Removal Obligation (net-negative),13.90139999999999,35.12969999999999,5116.764528857149,88.4492234646784,11.550776535321598,60.42835549406913,368.07548368201424,226.38008282417746,1.797235751215429,49.93301290382045,440.46225884807376,446.94330184715807,241.67969486450198,403.0428763527441
Net Cap with Equivalence Obligation (impermanence),17.42397,34.933800000000005,4982.5328303178885,91.10079046187603,8.899209538123968,50.122889579719356,285.9585289872451,180.67881782604366,1.8082306269633666,48.508788077877234,446.40173905670713,446.4017308441351,242.30898074750198,372.2440806634023
Conditional Market Integration - Net Cap (price-based),17.435399999999998,36.2757,4930.816816509758,87.99908759295181,12.000912407048187,51.93642024826537,282.80491508710776,158.76357680472788,1.6183693131128507,66.9646637378228,300.01110826227534,554.5123160789599,239.27765462934425,358.89144042557757
Connected Markets - Gross Cap,20.386499999999998,34.375800000000005,4678.537274106406,94.87179398943582,5.128206010564177,40.69519836629259,229.49193211715627,238.35030203168202,1.720240091191071,29.11281660814916,365.42400000000964,380.0,249.63826899559248,378.75852930689257
Gross Cap with Removal Target (net-zero),15.856200000000001,34.3725,5368.900703614336,82.67724611229704,17.322753887702966,53.8695177831115,338.59945659201674,192.05804641023119,1.7205121512042645,62.47898984660699,365.5230001063273,516.7816447554812,186.3727479222713,370.31707508405276
